endpoint,verb,elapsed,robot,build,db
/pipettes?refresh=true,GET,1.93236,OT2,6.2.1,Empty
/calibration/status,GET,0.033302,OT2,6.2.1,Empty
/health,GET,0.081495,OT2,6.2.1,Empty
/openapi.json,GET,0.75517,OT2,6.2.1,Empty
/runs,GET,0.065107,OT2,6.2.1,Empty
/protocols,GET,0.040407,OT2,6.2.1,Empty
/modules,GET,0.059648,OT2,6.2.1,Empty
/pipettes?refresh=false,GET,0.035913,OT2,6.2.1,Empty
/pipettes?refresh=true,GET,1.906006,OT2,6.2.1,Empty
/calibration/status,GET,0.033704,OT2,6.2.1,Empty
